algorithm,RQ,experiment_id,iteration,no_datapoints,no_features,preprocessing_energy(J),preprocessing_time(s),train_energy(J),train_time(s),predict_energy(J),predict_time(s),datatype,accuracy,precision,recall,f1
AdaBoost,2.1,103,2,2730,8169,0.012593298570910133,1.6383121013641357,1.037992612495004,2.012923240661621,0.043738992051016286,1.4894940853118896,float64,0.9606837606837607,0.8936170212765957,0.802547770700637,0.8456375838926175
Decision Tree,2.2,33,2,3900,2451,0.027051243004080024,1.4312608242034912,0.06848204333129115,1.506253719329834,0.06443062821192093,1.4788858890533447,float64,0.9635167464114832,0.8721461187214612,0.8526785714285714,0.8623024830699775
SVM,2.2,15,22,3900,4084,0.018298202887336475,1.4672245979309082,0.5301545276801686,1.9412147998809814,0.30360311063781414,1.6876952648162842,float64,0.8283492822966507,0.4319654427645788,0.8928571428571429,0.5822416302765647
AdaBoost,2.2,112,1,3900,1633,0.026225677655248726,1.4541058540344238,0.24306707979367445,1.7807228565216064,0.09380005733271357,1.5140678882598877,float64,0.9700956937799043,0.910377358490566,0.8616071428571429,0.8853211009174312
Bagging Classifier,2.2,138,6,3900,6535,0.027610353939111203,1.476311206817627,0.6992975367610434,2.0675530433654785,0.056579515488541156,1.4969401359558105,float64,0.9641148325358851,0.91,0.8125,0.8584905660377358
Decision Tree,2.1,26,22,1559,8169,0.01389673188810531,1.424705982208252,0.11487712045125786,1.4700570106506348,0.02751348503033514,1.476809024810791,float64,0.9581464872944694,0.8780487804878049,0.8,0.8372093023255814
KNN,2.1,65,9,1950,8169,0.010354214178208147,1.4492440223693848,0.009218586456788157,1.41290283203125,0.09641690496289722,1.5504179000854492,float64,0.8983253588516746,0.6588235294117647,0.5,0.5685279187817259
AdaBoost,2.1,102,11,3119,8169,0.01052336966380401,1.4676711559295654,0.581183739727644,2.1685631275177,0.07109568122912485,1.4959449768066406,float64,0.9633781763826607,0.9281045751633987,0.7888888888888889,0.8528528528528527
AdaBoost,2.2,114,6,3900,3268,0.02612366641664003,1.4589338302612305,0.4079741373622712,1.930917739868164,0.06797337142573584,1.499014139175415,float64,0.9677033492822966,0.9086538461538461,0.84375,0.875
Bagging Classifier,2.1,128,14,779,8169,0.010198528731759034,1.4255650043487549,0.09209860824033274,1.525158166885376,0.023230256086059487,1.4415178298950195,float64,0.9611940298507463,0.9705882352941176,0.7333333333333333,0.8354430379746834
SVM,2.2,20,24,3900,8169,0.0005553070169839744,1.428891897201538,0.41224299240552664,2.0669567584991455,0.3136850312038245,1.6870100498199463,float64,0.8283492822966507,0.4319654427645788,0.8928571428571429,0.5822416302765647
Decision Tree,2.2,31,11,3900,817,0.02487770064610634,1.447434902191162,0.04101514063771469,1.4857878684997559,0.05342220556046789,1.5154831409454346,float64,0.9593301435406698,0.8545454545454545,0.8392857142857143,0.8468468468468467
SVM,2.1,7,26,1169,8169,0.02627092545481803,1.4170849323272705,0.058212939270232904,1.5054130554199219,0.03332434936958279,1.4757540225982666,float64,0.8326693227091634,0.43795620437956206,0.8955223880597015,0.5882352941176471
KNN,2.1,68,19,779,8169,0.01009350852317556,1.4424819946289062,0.005217446297793294,1.4382550716400146,0.03433900473333441,1.4680418968200684,float64,0.8985074626865671,0.6571428571428571,0.5111111111111111,0.575
Random Forest,2.2,95,18,3900,4084,0.01817136688123355,1.4530739784240723,1.0600943855661253,2.8046886920928955,0.11892038648140524,1.54488205909729,float64,0.9760765550239234,0.9946236559139785,0.8258928571428571,0.9024390243902438
Random Forest,2.2,95,1,3900,4084,0.02688028399727706,1.4507372379302979,1.452568032926931,2.8605151176452637,0.1260738463438633,1.5355138778686523,float64,0.9778708133971292,1.0,0.8348214285714286,0.9099756690997567
Decision Tree,2.2,37,2,3900,5718,0.02560989832416838,1.4460091590881348,0.10131396564037518,1.56001615524292,0.05679110122577957,1.4946479797363281,float64,0.9635167464114832,0.8721461187214612,0.8526785714285714,0.8623024830699775
Decision Tree,2.1,26,27,1559,8169,0.00731461881345817,1.453704833984375,0.04175065739918617,1.4964509010314941,0.02804955437441354,1.4683880805969238,float64,0.9566517189835575,0.8961038961038961,0.7666666666666667,0.8263473053892216
SVM,2.1,10,6,3900,8169,0.0008192886004427028,1.4363441467285156,0.6368540084072823,2.0501902103424072,0.34847568031169585,1.693871021270752,float64,0.8283492822966507,0.4319654427645788,0.8928571428571429,0.5822416302765647
SVM,2.1,1,9,3509,8169,0.007202721160495792,1.4392390251159668,0.5010670017648682,1.892714023590088,0.18822725773723817,1.660163164138794,float64,0.8046511627906977,0.3986784140969163,0.8960396039603961,0.551829268292683
SVM,2.1,6,15,1559,8169,0.009551179714564812,1.4466769695281982,0.1458703338932642,1.5304388999938965,0.10341696783191952,1.4551563262939453,float64,0.828101644245142,0.4358974358974359,0.9444444444444444,0.5964912280701755
KNN,2.1,70,11,3900,8169,0.0014262670477974482,1.392021894454956,0.02713635607272471,1.450800895690918,0.2664726776619422,1.7376530170440674,float64,0.9336124401913876,0.7927461139896373,0.6830357142857143,0.7338129496402879
Random Forest,2.1,83,20,2730,8169,0.015251134945116896,1.4331352710723877,2.783056430943911,2.755737066268921,0.17492750272525334,1.4596779346466064,float64,0.9752136752136752,1.0,0.8152866242038217,0.8982456140350877
Bagging Classifier,2.2,140,0,3900,8169,0.0005671391587210348,1.4288928508758545,0.7682418568320553,2.1537909507751465,0.0842135349986098,1.4993069171905518,float64,0.9629186602870813,0.905,0.8080357142857143,0.8537735849056605
Bagging Classifier,2.1,124,6,2340,8169,0.010171251454296912,1.447242021560669,0.2720356721054329,1.7807300090789795,0.039077342426834145,1.4758870601654053,float64,0.9491525423728814,0.8672566371681416,0.7313432835820896,0.7935222672064777
AdaBoost,2.1,107,27,1169,8169,0.006684646667100858,1.437803030014038,0.2502116571508229,1.6685688495635986,0.03458971071191955,1.473510980606079,float64,0.9601593625498008,0.873015873015873,0.8208955223880597,0.8461538461538461
Bagging Classifier,2.2,138,29,3900,6535,0.0260350304778396,1.455143928527832,0.5245585155205057,2.050294876098633,0.0576828595171789,1.49965500831604,float64,0.9629186602870813,0.905,0.8080357142857143,0.8537735849056605
Random Forest,2.2,100,24,3900,8169,0.0007914972527546396,1.4141108989715576,1.873782730789992,3.35770583152771,0.07875996095657102,1.5320160388946533,float64,0.9796650717703349,1.0,0.8482142857142857,0.9178743961352658
SVM,2.1,6,19,1559,8169,0.00982430331624413,1.417738914489746,0.0853051828486073,1.5338261127471924,0.058786688101094824,1.5155839920043945,float64,0.828101644245142,0.4358974358974359,0.9444444444444444,0.5964912280701755
SVM,2.2,18,6,3900,6535,0.02721316410876618,1.4647150039672852,0.4853536993946521,2.0028231143951416,0.253381474930746,1.6967108249664307,float64,0.8283492822966507,0.4319654427645788,0.8928571428571429,0.5822416302765647
Random Forest,2.1,84,28,2340,8169,0.010254010614762147,1.4238991737365723,1.0625413492137845,2.465651273727417,0.06379888997854133,1.4812800884246826,float64,0.9641076769690927,1.0,0.7313432835820896,0.8448275862068965
AdaBoost,2.2,120,12,3900,8169,0.0005356369561667339,1.4356482028961182,0.6942001567606066,2.3685240745544434,0.06662553204370171,1.5115041732788086,float64,0.9683014354066986,0.9130434782608695,0.84375,0.8770301624129929
Decision Tree,2.2,35,4,3900,4084,0.36083494094241486,1.456880807876587,0.1089215242821247,1.5288419723510742,0.6304538142719576,1.4446210861206055,float64,0.9623205741626795,0.8779342723004695,0.8348214285714286,0.8558352402745996
AdaBoost,2.2,117,16,3900,5718,0.024654202092940315,1.4466686248779297,0.662746928759946,2.0787360668182373,0.0698799514941787,1.5267541408538818,float64,0.9694976076555024,0.9138755980861244,0.8526785714285714,0.8822170900692841
Decision Tree,2.2,31,5,3900,817,0.024145359729452153,1.4529168605804443,0.05585255571772902,1.4975862503051758,0.06844288524279328,1.485764980316162,float64,0.9599282296650717,0.852017937219731,0.8482142857142857,0.8501118568232662
KNN,2.2,74,9,3900,3268,0.024995736145011802,1.4537038803100586,0.013597423292806336,1.4392478466033936,0.2524532122240121,1.715400218963623,float64,0.868421052631579,1.0,0.017857142857142856,0.03508771929824561
Bagging Classifier,2.2,131,7,3900,817,0.01664725734435028,1.4341111183166504,0.177603601965303,1.6465141773223877,0.05839814446214015,1.4998021125793457,float64,0.9659090909090909,0.9195979899497487,0.8169642857142857,0.8652482269503545
Bagging Classifier,2.2,134,7,3900,3268,0.02559840261639759,1.4694457054138184,0.33143254295693947,1.8868811130523682,0.06096701884846924,1.4957470893859863,float64,0.9617224880382775,0.8883495145631068,0.8169642857142857,0.8511627906976744
Decision Tree,2.2,33,3,3900,2451,0.016986412418755842,1.4458630084991455,0.06768410178727158,1.5217258930206299,0.05457074806348859,1.4900736808776855,float64,0.9629186602870813,0.8715596330275229,0.8482142857142857,0.8597285067873303
AdaBoost,2.1,109,19,389,8169,0.006350421050521994,1.447577953338623,0.13719860514984883,1.554516077041626,0.0235323083690394,1.458169937133789,float64,0.9583333333333334,0.9,0.782608695652174,0.8372093023255814
Random Forest,2.2,95,0,3900,4084,0.016562276254891758,1.4383020401000977,1.3993240339205149,2.8005528450012207,0.1396149754124232,1.5182089805603027,float64,0.9772727272727273,0.9946808510638298,0.8348214285714286,0.9077669902912622
SVM,2.1,8,13,779,8169,0.010534258468943212,1.4348750114440918,0.03419699827485771,1.4632210731506348,0.032485365043678965,1.4753448963165283,float64,0.8388059701492537,0.4482758620689655,0.8666666666666667,0.5909090909090909
Random Forest,2.1,84,12,2340,8169,0.006658331722688568,1.4428308010101318,0.6513630249473386,2.4572319984436035,0.06774317718196797,1.5140089988708496,float64,0.959122632103689,0.9894736842105263,0.7014925373134329,0.8209606986899564
Random Forest,2.1,84,29,2340,8169,0.011327901907804624,1.4520680904388428,1.715995937962196,2.4081008434295654,0.05243070259625688,1.4881751537322998,float64,0.9641076769690927,1.0,0.7313432835820896,0.8448275862068965
KNN,2.1,65,21,1950,8169,0.008668590004839062,1.4378046989440918,0.005884061834807055,1.4616279602050781,0.09090869401558611,1.5314011573791504,float64,0.8983253588516746,0.6588235294117647,0.5,0.5685279187817259
AdaBoost,2.1,101,9,3509,8169,0.007028765208326407,1.4211649894714355,0.8039077423951648,2.2565619945526123,0.06064977399512384,1.5283148288726807,float64,0.9554817275747508,0.8609625668449198,0.7970297029702971,0.8277634961439588
AdaBoost,2.2,116,12,3900,4901,0.014117076107142332,1.4338080883026123,0.5779929757480143,2.0008840560913086,0.07003003664326209,1.509584903717041,float64,0.9694976076555024,0.9138755980861244,0.8526785714285714,0.8822170900692841
KNN,2.2,71,2,3900,817,0.024225546182450295,1.4604649543762207,0.010926583458548824,1.4533066749572754,0.3157865387729897,1.7082817554473877,float64,0.867822966507177,1.0,0.013392857142857142,0.026431718061674006
Decision Tree,2.1,28,29,779,8169,0.016372094259780694,1.4235718250274658,0.01807707738455469,1.4476139545440674,0.025510721990219077,1.4479012489318848,float64,0.9462686567164179,0.8857142857142857,0.6888888888888889,0.775
Random Forest,2.1,86,25,1559,8169,0.010099516406179947,1.4220852851867676,0.5439717301325881,2.0784192085266113,0.038525867652530375,1.469959020614624,float64,0.9521674140508222,1.0,0.6444444444444445,0.7837837837837839
SVM,2.2,14,5,3900,3268,0.017793995366624443,1.460684061050415,0.31990958283241777,1.9177920818328857,0.19352110918596294,1.6632330417633057,float64,0.8283492822966507,0.4319654427645788,0.8928571428571429,0.5822416302765647
AdaBoost,2.2,118,11,3900,6535,0.016425134746469082,1.4382879734039307,0.748414091053613,2.168952226638794,0.054866495564952565,1.5126986503601074,float64,0.9688995215311005,0.9134615384615384,0.8482142857142857,0.8796296296296297
AdaBoost,2.2,118,19,3900,6535,0.01740621933494078,1.4336938858032227,0.4936550382203792,2.2018399238586426,0.06724733883724975,1.5095312595367432,float64,0.9683014354066986,0.9130434782608695,0.84375,0.8770301624129929
AdaBoost,2.1,103,18,2730,8169,0.010973757418184286,1.426692247390747,0.5265897106863279,2.02498197555542,0.052899976832102576,1.4671430587768555,float64,0.9572649572649573,0.8848920863309353,0.7834394904458599,0.8310810810810811
Bagging Classifier,2.2,133,22,3900,2451,0.018683220036606836,1.456629991531372,0.2360231202416564,1.7843430042266846,0.04735437880247396,1.483078956604004,float64,0.9629186602870813,0.8970588235294118,0.8169642857142857,0.8551401869158878
Decision Tree,2.2,38,17,3900,6535,0.025347943300182474,1.4521479606628418,0.11606890156325378,1.571702003479004,0.056149089871500274,1.4883198738098145,float64,0.9635167464114832,0.8654708520179372,0.8616071428571429,0.8635346756152126
Random Forest,2.1,83,7,2730,8169,0.006588837114174109,1.4499211311340332,1.3912594304947208,2.716500997543335,0.08563773562353585,1.513077974319458,float64,0.9735042735042735,0.9921875,0.8089171974522293,0.8912280701754386
Bagging Classifier,2.2,133,19,3900,2451,0.01550879254412454,1.4652400016784668,0.4139778915412611,1.7908751964569092,0.15156957979338453,1.4956269264221191,float64,0.9641148325358851,0.9183673469387755,0.8035714285714286,0.8571428571428571
SVM,2.1,5,27,1950,8169,0.006381045736026549,1.4393391609191895,0.1376722495656263,1.5935721397399902,0.08295388770157529,1.5197889804840088,float64,0.8205741626794258,0.4166666666666667,0.8482142857142857,0.5588235294117647
KNN,2.1,70,25,3900,8169,0.0008177148464235958,1.4394652843475342,0.011434130115830273,1.4406490325927734,0.3709132744948789,1.719655990600586,float64,0.9336124401913876,0.7927461139896373,0.6830357142857143,0.7338129496402879
Random Forest,2.2,94,10,3900,3268,0.025510393584804444,1.4588711261749268,0.9761442919059697,2.719202995300293,0.08950688171743575,1.5369319915771484,float64,0.9754784688995215,0.9790575916230366,0.8348214285714286,0.9012048192771085
Bagging Classifier,2.2,133,18,3900,2451,0.01850899689521077,1.4683549404144287,0.30244899442517287,1.7875301837921143,0.05906716772656527,1.510998249053955,float64,0.9617224880382775,0.9,0.8035714285714286,0.8490566037735849
Decision Tree,2.1,21,2,3509,8169,0.0068689881034545985,1.4359679222106934,0.1007508414376509,1.5489652156829834,0.050364557007464866,1.4882948398590088,float64,0.9528239202657808,0.8540540540540541,0.7821782178217822,0.8165374677002586
SVM,2.2,11,25,3900,817,0.015382133931359905,1.4451677799224854,0.29215725225342926,1.678948163986206,0.10949331838536608,1.5780611038208008,float64,0.8283492822966507,0.4319654427645788,0.8928571428571429,0.5822416302765647
Random Forest,2.1,84,2,2340,8169,0.010513333026868472,1.4300098419189453,0.7063703371054065,2.4583680629730225,0.08438319784980147,1.495650053024292,float64,0.9641076769690927,0.99,0.7388059701492538,0.8461538461538461
Random Forest,2.1,82,6,3119,8169,0.006875272273091377,1.4414231777191162,2.6001122493552744,2.9642162322998047,0.09348628229549431,1.5043220520019531,float64,0.9738415545590433,1.0,0.8055555555555556,0.8923076923076924
SVM,2.1,8,9,779,8169,0.01011967863786065,1.4280331134796143,0.033458530055048355,1.4762060642242432,0.029663558838737246,1.4570460319519043,float64,0.8388059701492537,0.4482758620689655,0.8666666666666667,0.5909090909090909
Bagging Classifier,2.2,139,3,3900,7352,0.017371835890473707,1.4448630809783936,0.6173733418032615,2.0564048290252686,0.05669927699244111,1.4933221340179443,float64,0.9659090909090909,0.9113300492610837,0.8258928571428571,0.8665105386416861
AdaBoost,2.1,102,3,3119,8169,0.00691736911513886,1.461035966873169,0.47111342413027457,2.156733751296997,0.05789192040246226,1.4976987838745117,float64,0.9626307922272048,0.922077922077922,0.7888888888888889,0.8502994011976047
Random Forest,2.1,86,23,1559,8169,0.010840294140286415,1.4305851459503174,1.1268349453169269,2.090573787689209,0.047303503291861136,1.4668397903442383,float64,0.9581464872944694,1.0,0.6888888888888889,0.8157894736842105
Bagging Classifier,2.1,129,24,389,8169,0.010914938621342386,1.4407880306243896,0.0495255992207219,1.4813721179962158,0.01250154425034504,1.4471619129180908,float64,0.8928571428571429,0.6666666666666666,0.43478260869565216,0.5263157894736841
Random Forest,2.1,82,11,3119,8169,0.010784281109684294,1.4450788497924805,1.59946287433424,2.932736873626709,0.07697991448140423,1.5123379230499268,float64,0.976083707025411,1.0,0.8222222222222222,0.9024390243902439
Random Forest,2.2,100,29,3900,8169,0.0008600767278435459,1.417741060256958,2.0738518340382033,3.35459303855896,0.11311790646429946,1.5450749397277832,float64,0.9778708133971292,0.9947089947089947,0.8392857142857143,0.9104116222760291
SVM,2.1,6,11,1559,8169,0.010763571041705727,1.4468750953674316,0.09119591135705724,1.536756992340088,0.053617156903923595,1.508993148803711,float64,0.828101644245142,0.4358974358974359,0.9444444444444444,0.5964912280701755
Decision Tree,2.2,40,17,3900,8169,0.0013663105286688163,1.43526291847229,0.09310967161064979,1.5750219821929932,0.05641647171054781,1.468623161315918,float64,0.9629186602870813,0.8715596330275229,0.8482142857142857,0.8597285067873303
SVM,2.2,18,5,3900,6535,0.016726583284795343,1.4700648784637451,0.590871322979769,1.9748952388763428,0.23912329320262926,1.7010700702667236,float64,0.8283492822966507,0.4319654427645788,0.8928571428571429,0.5822416302765647
